,X,Y,Regiao,mcirc,municipio,RISP,AISP_COMP,DP,ano,mes,TIPO,Ocorrencias,Objectid
2560,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2015,1,aaapai_cmba,10.0,211442
2561,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2015,1,aaapai_cmba,22.0,211492
2562,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2015,1,aaapai_cmba,26.0,211542
2563,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2015,1,aaapai_cmba,11.0,211592
2564,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2015,2,aaapai_cmba,12.0,211642
2565,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2015,2,aaapai_cmba,29.0,211692
2566,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2015,2,aaapai_cmba,19.0,211742
2567,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2015,2,aaapai_cmba,19.0,211792
2568,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2015,3,aaapai_cmba,12.0,211842
2569,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2015,3,aaapai_cmba,30.0,211892
2570,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2015,3,aaapai_cmba,56.0,211942
2571,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2015,3,aaapai_cmba,17.0,211992
2572,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2015,4,aaapai_cmba,9.0,212042
2573,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2015,4,aaapai_cmba,25.0,212092
2574,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2015,4,aaapai_cmba,29.0,212142
2575,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2015,4,aaapai_cmba,4.0,212192
2576,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2015,5,aaapai_cmba,8.0,212242
2577,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2015,5,aaapai_cmba,30.0,212292
2578,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2015,5,aaapai_cmba,35.0,212342
2579,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2015,5,aaapai_cmba,4.0,212392
2580,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2015,11,aaapai_cmba,9.0,213442
2581,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2015,11,aaapai_cmba,19.0,213492
2582,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2015,11,aaapai_cmba,34.0,213542
2583,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2015,11,aaapai_cmba,8.0,213592
2584,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2015,12,aaapai_cmba,3.0,213642
2585,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2015,12,aaapai_cmba,13.0,213692
2586,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2015,12,aaapai_cmba,7.0,213742
2587,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2015,12,aaapai_cmba,5.0,213792
2600,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2015,6,aaapai_cmba,10.0,212442
2601,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2015,6,aaapai_cmba,23.0,212492
2602,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2015,6,aaapai_cmba,19.0,212542
2603,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2015,6,aaapai_cmba,8.0,212592
2604,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2015,7,aaapai_cmba,3.0,212642
2605,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2015,7,aaapai_cmba,18.0,212692
2606,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2015,7,aaapai_cmba,27.0,212742
2607,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2015,7,aaapai_cmba,11.0,212792
2608,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2015,8,aaapai_cmba,3.0,212842
2609,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2015,8,aaapai_cmba,25.0,212892
2610,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2015,8,aaapai_cmba,27.0,212942
2611,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2015,8,aaapai_cmba,7.0,212992
2612,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2015,9,aaapai_cmba,9.0,213042
2613,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2015,9,aaapai_cmba,19.0,213092
2614,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2015,9,aaapai_cmba,20.0,213142
2615,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2015,9,aaapai_cmba,13.0,213192
2616,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2015,10,aaapai_cmba,10.0,213242
2617,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2015,10,aaapai_cmba,26.0,213292
