,X,Y,Regiao,mcirc,municipio,RISP,AISP_COMP,DP,ano,mes,TIPO,Ocorrencias,Objectid
264,-43.18329359899997,-22.932439629999976,Capital,3304557,Rio de Janeiro,1,2,9,2018,1,aaapai_cmba,13.0,96642
265,-43.18011012899996,-22.954746428999954,Capital,3304557,Rio de Janeiro,1,2,10,2018,1,aaapai_cmba,6.0,96692
266,-43.18329359899997,-22.932439629999976,Capital,3304557,Rio de Janeiro,1,2,9,2018,2,aaapai_cmba,9.0,96742
267,-43.18011012899996,-22.954746428999954,Capital,3304557,Rio de Janeiro,1,2,10,2018,2,aaapai_cmba,6.0,96792
268,-43.18329359899997,-22.932439629999976,Capital,3304557,Rio de Janeiro,1,2,9,2018,3,aaapai_cmba,9.0,96842
269,-43.18011012899996,-22.954746428999954,Capital,3304557,Rio de Janeiro,1,2,10,2018,3,aaapai_cmba,1.0,96892
270,-43.18329359899997,-22.932439629999976,Capital,3304557,Rio de Janeiro,1,2,9,2018,4,aaapai_cmba,14.0,96942
271,-43.18011012899996,-22.954746428999954,Capital,3304557,Rio de Janeiro,1,2,10,2018,4,aaapai_cmba,2.0,96992
932,-43.27705304999989,-22.89320899699993,Capital,3304557,Rio de Janeiro,1,3,23,2018,1,aaapai_cmba,3.0,130042
933,-43.304378640999964,-22.890062730999947,Capital,3304557,Rio de Janeiro,1,3,24,2018,1,aaapai_cmba,3.0,130092
934,-43.25854112899998,-22.901399534999932,Capital,3304557,Rio de Janeiro,1,3,25,2018,1,aaapai_cmba,8.0,130142
935,-43.29519427399999,-22.909424456999947,Capital,3304557,Rio de Janeiro,1,3,26,2018,1,aaapai_cmba,7.0,130192
936,-43.30059404899999,-22.864093079999968,Capital,3304557,Rio de Janeiro,1,3,44,2018,1,aaapai_cmba,2.0,130242
937,-43.27705304999989,-22.89320899699993,Capital,3304557,Rio de Janeiro,1,3,23,2018,2,aaapai_cmba,0.0,130292
938,-43.304378640999964,-22.890062730999947,Capital,3304557,Rio de Janeiro,1,3,24,2018,2,aaapai_cmba,1.0,130342
939,-43.25854112899998,-22.901399534999932,Capital,3304557,Rio de Janeiro,1,3,25,2018,2,aaapai_cmba,6.0,130392
940,-43.29519427399999,-22.909424456999947,Capital,3304557,Rio de Janeiro,1,3,26,2018,2,aaapai_cmba,1.0,130442
941,-43.30059404899999,-22.864093079999968,Capital,3304557,Rio de Janeiro,1,3,44,2018,2,aaapai_cmba,3.0,130492
942,-43.27705304999989,-22.89320899699993,Capital,3304557,Rio de Janeiro,1,3,23,2018,3,aaapai_cmba,2.0,130542
943,-43.304378640999964,-22.890062730999947,Capital,3304557,Rio de Janeiro,1,3,24,2018,3,aaapai_cmba,2.0,130592
944,-43.25854112899998,-22.901399534999932,Capital,3304557,Rio de Janeiro,1,3,25,2018,3,aaapai_cmba,3.0,130642
945,-43.29519427399999,-22.909424456999947,Capital,3304557,Rio de Janeiro,1,3,26,2018,3,aaapai_cmba,5.0,130692
946,-43.30059404899999,-22.864093079999968,Capital,3304557,Rio de Janeiro,1,3,44,2018,3,aaapai_cmba,1.0,130742
947,-43.27705304999989,-22.89320899699993,Capital,3304557,Rio de Janeiro,1,3,23,2018,4,aaapai_cmba,2.0,130792
948,-43.304378640999964,-22.890062730999947,Capital,3304557,Rio de Janeiro,1,3,24,2018,4,aaapai_cmba,2.0,130842
949,-43.25854112899998,-22.901399534999932,Capital,3304557,Rio de Janeiro,1,3,25,2018,4,aaapai_cmba,5.0,130892
950,-43.29519427399999,-22.909424456999947,Capital,3304557,Rio de Janeiro,1,3,26,2018,4,aaapai_cmba,5.0,130942
951,-43.30059404899999,-22.864093079999968,Capital,3304557,Rio de Janeiro,1,3,44,2018,4,aaapai_cmba,6.0,130992
1216,-43.20547780799996,-22.92235815499993,Capital,3304557,Rio de Janeiro,1,4,6,2018,1,aaapai_cmba,2.0,144242
1217,-43.22343868699994,-22.889825676999973,Capital,3304557,Rio de Janeiro,1,4,17,2018,1,aaapai_cmba,10.0,144292
1218,-43.20547780799996,-22.92235815499993,Capital,3304557,Rio de Janeiro,1,4,6,2018,2,aaapai_cmba,2.0,144342
1219,-43.22343868699994,-22.889825676999973,Capital,3304557,Rio de Janeiro,1,4,17,2018,2,aaapai_cmba,5.0,144392
1220,-43.20547780799996,-22.92235815499993,Capital,3304557,Rio de Janeiro,1,4,6,2018,3,aaapai_cmba,9.0,144442
1221,-43.22343868699994,-22.889825676999973,Capital,3304557,Rio de Janeiro,1,4,17,2018,3,aaapai_cmba,10.0,144492
1222,-43.20547780799996,-22.92235815499993,Capital,3304557,Rio de Janeiro,1,4,6,2018,4,aaapai_cmba,4.0,144542
1223,-43.22343868699994,-22.889825676999973,Capital,3304557,Rio de Janeiro,1,4,17,2018,4,aaapai_cmba,9.0,144592
1772,-43.17875582099998,-22.90112383599995,Capital,3304557,Rio de Janeiro,1,5,1,2018,1,aaapai_cmba,2.0,171042
1773,-43.195513425999934,-22.89902658299997,Capital,3304557,Rio de Janeiro,1,5,4,2018,1,aaapai_cmba,6.0,171092
1774,-43.17572017199996,-22.91029832599997,Capital,3304557,Rio de Janeiro,1,5,5,2018,1,aaapai_cmba,9.0,171142
1775,-43.18761507099998,-22.92241809299998,Capital,3304557,Rio de Janeiro,1,5,7,2018,1,aaapai_cmba,3.0,171192
1776,-43.17875582099998,-22.90112383599995,Capital,3304557,Rio de Janeiro,1,5,1,2018,2,aaapai_cmba,0.0,171242
1777,-43.195513425999934,-22.89902658299997,Capital,3304557,Rio de Janeiro,1,5,4,2018,2,aaapai_cmba,8.0,171292
1778,-43.17572017199996,-22.91029832599997,Capital,3304557,Rio de Janeiro,1,5,5,2018,2,aaapai_cmba,18.0,171342
1779,-43.18761507099998,-22.92241809299998,Capital,3304557,Rio de Janeiro,1,5,7,2018,2,aaapai_cmba,0.0,171392
1780,-43.17875582099998,-22.90112383599995,Capital,3304557,Rio de Janeiro,1,5,1,2018,3,aaapai_cmba,0.0,171442
1781,-43.195513425999934,-22.89902658299997,Capital,3304557,Rio de Janeiro,1,5,4,2018,3,aaapai_cmba,3.0,171492
